sys_no,user_id,s.no,url,title,visit_count,typed_count,last_visit_time,hidden,first_visit_time,from_visit,transition
1,1918L04,10,https://www.google.com/search?q=sqlite3.OperationalError%3A+database+is+locked&rlz=1C1JJTC_enIN1028IN1028&ei=i6BqY5LfK9SN4-EPhMugiA8&ved=0ahUKEwjS0O-BnJ_7AhXUxjgGHYQlCPEQ4dUDCA8&uact=5&oq=sqlite3.OperationalError%3A+database+is+locked&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQhgNKBAhBGABKBAhGGABQAFgAYABoAHAAeACAAfACiAHwApIBAzMtMZgBAA&sclient=gws-wiz-serp,sqlite3.OperationalError: database is locked - Google Search,2,0,09/11/2022 00:02,0,09/11/2022 00:02,10,1601-01-01 05:43:25
1,1918L04,11,https://www.google.com/search?q=sqlite3.OperationalError%3A+database+is+locked&rlz=1C1JJTC_enIN1028IN1028&ei=i6BqY5LfK9SN4-EPhMugiA8&ved=0ahUKEwjS0O-BnJ_7AhXUxjgGHYQlCPEQ4dUDCA8&uact=5&oq=sqlite3.OperationalError%3A+database+is+locked&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQhgNKBAhBGABKBAhGGABQAFgAYABoAHAAeACAAfACiAHwApIBAzMtMZgBAA&sclient=gws-wiz-serp,sqlite3.OperationalError: database is locked - Google Search,2,0,09/11/2022 00:02,0,09/11/2022 00:02,11,1601-01-01 05:43:25
1,1918L04,12,https://stackoverflow.com/questions/3172929/operationalerror-database-is-locked,python - OperationalError: database is locked - Stack Overflow,1,0,09/11/2022 00:02,0,09/11/2022 00:02,12,1601-01-01 05:43:25
1,1918L04,13,http://127.0.0.1:5000/,Login,4,3,09/11/2022 00:08,0,09/11/2022 00:07,0,1601-01-01 05:43:58
1,1918L04,14,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,09/11/2022 00:07,14,1601-01-01 05:43:25
1,1918L04,15,http://127.0.0.1:5000/logout,Index,4,0,09/11/2022 00:08,0,09/11/2022 00:07,15,1601-01-01 05:43:25
1,1918L04,16,http://127.0.0.1:5000/,Login,4,3,09/11/2022 00:08,0,09/11/2022 00:08,0,1601-01-01 05:43:58
1,1918L04,17,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,09/11/2022 00:08,17,1601-01-01 05:43:25
1,1918L04,18,http://127.0.0.1:5000/logout,Index,4,0,09/11/2022 00:08,0,09/11/2022 00:08,18,1601-01-01 05:34:28
1,1918L04,19,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,09/11/2022 00:08,19,1601-01-01 05:03:10
1,1918L04,20,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,09/11/2022 00:10,20,1601-01-01 05:43:25
1,1918L04,21,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,09/11/2022 00:10,21,1601-01-01 05:43:25
1,1918L04,22,http://127.0.0.1:5000/login,Index,9,0,09/11/2022 00:10,0,09/11/2022 00:10,22,1601-01-01 05:43:25
